gold,exp,rarity_roll,monsters,gold_multiplier,final_gold,rarity
69,76,0.2874685824952521,Orc,2.0,138.0,common
28,88,0.3890134895351184,Orc,2.0,56.0,common
50,165,0.1482411289857678,Orc,2.0,100.0,common
20,145,0.8564661758643821,Goblin,1.0,20.0,rarity
89,75,0.21689129568179277,Goblin,1.0,89.0,common
98,87,0.08816273008867315,Orc,2.0,196.0,common
43,136,0.7310522769649805,Goblin,1.0,43.0,common
33,57,0.5706096644983063,Orc,2.0,66.0,common
66,156,0.3738177411827376,Goblin,1.0,66.0,common
13,50,0.9608822953268992,Orc,2.0,26.0,legendary
12,73,0.1382592785071941,Goblin,1.0,12.0,common
52,170,0.0686361448255457,Goblin,1.0,52.0,common
70,142,0.185033818114836,Goblin,1.0,70.0,common
13,172,0.38689115144307307,Orc,2.0,26.0,common
63,137,0.961791848476176,Orc,2.0,126.0,legendary
35,85,0.9602841568089516,Goblin,1.0,35.0,legendary
24,101,0.020896247580845295,Goblin,1.0,24.0,common
86,177,0.6624106722091195,Orc,2.0,172.0,common
19,185,0.784008914297663,Dragon,10.0,190.0,common
77,99,0.2616007644641902,Orc,2.0,154.0,common
84,161,0.1730545755398829,Goblin,1.0,84.0,common
88,176,0.30189892184377776,Orc,2.0,176.0,common
76,76,0.7383821103280316,Orc,2.0,152.0,common
70,114,0.92060857801398,Goblin,1.0,70.0,rarity
12,129,0.16292726214722963,Goblin,1.0,12.0,common
92,95,0.6398320580490936,Goblin,1.0,92.0,common
72,139,0.9078135339775012,Goblin,1.0,72.0,rarity
71,139,0.9447643656482118,Goblin,1.0,71.0,rarity
32,76,0.5580578293056262,Orc,2.0,64.0,common
49,96,0.7251824599028159,Goblin,1.0,49.0,common
10,140,0.13800088571048585,Orc,2.0,20.0,common
22,104,0.04194939223351912,Dragon,10.0,220.0,common
55,106,0.6663540635431828,Goblin,1.0,55.0,common
59,144,0.21114262302018405,Orc,2.0,118.0,common
48,65,0.581844266727172,Goblin,1.0,48.0,common
66,75,0.1805079145044347,Dragon,10.0,660.0,common
83,81,0.9918770379783216,Goblin,1.0,83.0,legendary
97,197,0.4023992404775826,Orc,2.0,194.0,common
54,125,0.12192368245063834,Orc,2.0,108.0,common
50,188,0.5062940060304583,Goblin,1.0,50.0,common
14,68,0.050788749133717226,Goblin,1.0,14.0,common
23,185,0.48034564449999195,Goblin,1.0,23.0,common
96,74,0.626625344870281,Goblin,1.0,96.0,common
94,174,0.97527865657843,Orc,2.0,188.0,legendary
69,96,0.40602232978376684,Goblin,1.0,69.0,common
93,105,0.6243051453928882,Goblin,1.0,93.0,common
59,58,0.17860943670802543,Goblin,1.0,59.0,common
42,172,0.3107583531183544,Goblin,1.0,42.0,common
89,197,0.8191821517521893,Goblin,1.0,89.0,rarity
70,132,0.04714418303439716,Goblin,1.0,70.0,common
34,121,0.3773534921627075,Orc,2.0,68.0,common
79,92,0.27405691452524006,Goblin,1.0,79.0,common
43,107,0.4223253610143157,Orc,2.0,86.0,common
99,177,0.6542311729799904,Goblin,1.0,99.0,common
23,97,0.11130499302784436,Dragon,10.0,230.0,common
58,142,0.9024606020140572,Goblin,1.0,58.0,rarity
88,194,0.5427391075123479,Goblin,1.0,88.0,common
17,156,0.4629325459005077,Orc,2.0,34.0,common
19,140,0.37749675756404144,Orc,2.0,38.0,common
47,113,0.06938832049411336,Orc,2.0,94.0,common
93,89,0.33655272996207,Goblin,1.0,93.0,common
93,148,0.7993300615532971,Goblin,1.0,93.0,common
38,172,0.32669913809753925,Goblin,1.0,38.0,common
18,53,0.16643756988650582,Goblin,1.0,18.0,common
